name,year,km_driven,mileage,engine,max_power,selling_price
Maruti Swift Dzire VDI,2014,145500,23.4,1248,74,450000
Skoda Rapid 1.5 TDI Ambition,2014,120000,21.14,1498,103.52,370000
Honda City 2017-2020 EXi,2006,140000,17.7,1497,78,158000
Hyundai i20 Sportz Diesel,2010,127000,23,1396,90,225000
Maruti Swift VXI BSIII,2007,120000,16.1,1298,88.2,130000
Hyundai Xcent 1.2 VTVT E Plus,2017,45000,20.14,1197,81.86,440000
Maruti Wagon R LXI DUO BSIII,2007,175000,17.3,1061,57.5,96000
Maruti 800 DX BSII,2001,5000,16.1,796,37,45000
Toyota Etios VXD,2011,90000,23.59,1364,67.1,350000
Ford Figo Diesel Celebration Edition,2013,169000,20,1399,68.1,200000
Renault Duster 110PS Diesel RxL,2014,68000,19.01,1461,108.45,500000
Maruti Zen LX,2005,100000,17.3,993,60,92000
Maruti Swift Dzire VDi,2009,140000,19.3,1248,73.9,280000
Maruti Wagon R LXI Minor,2009,90000,18.9,1061,67,180000
Mahindra KUV 100 mFALCON G80 K8 5str,2016,40000,18.15,1198,82,400000
Maruti Ertiga SHVS VDI,2016,70000,24.52,1248,88.5,778000
Hyundai i20 1.4 CRDi Asta,2012,53000,23,1396,90,500000
Maruti Alto LX,2002,80000,19.7,796,46.3,150000
Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,100000,22.54,1396,88.73,680000
Mahindra Verito 1.5 D4 BSIII,2011,100000,21,1461,64.1,174000
Honda WR-V i-DTEC VX,2017,50000,25.5,1498,98.6,950000
Maruti Swift Dzire ZDI,2015,40000,26.59,1248,74,525000
Maruti SX4 ZDI,2012,72000,21.5,1248,88.8,600000
Tata Tigor 2017-2020 XZ,2018,35000,20.3,1199,83.81,500000
Maruti Baleno Delta 1.2,2016,45000,21.4,1197,83.1,575000
Maruti Alto 800 LXI,2017,28000,24.7,796,47.3,275000
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,70000,18.2,1248,73.8,300000
Maruti Wagon R LXI Minor,2009,120000,18.9,1061,67,220000
Maruti Omni E MPI STD BS IV,2018,25000,16.8,796,34.2,254999
Maruti Vitara Brezza LDi Option,2017,70000,24.3,1248,88.5,670000
Maruti Omni 8 Seater BSIV,2012,35000,14,796,35,150000
Hyundai i20 1.2 Asta Dual Tone,2018,2388,18.6,1197,81.83,730000
Maruti Vitara Brezza LDi,2017,16200,24.3,1248,88.5,650000
Maruti Alto 800 CNG LXI Optional,2019,10000,33.44,796,40.3,330000
Maruti Alto K10 VXI Airbag,2019,15000,23.95,998,67.1,366000
Hyundai Verna VTVT 1.6 SX Option,2019,5000,17,1591,121.3,1149000
Datsun GO D,2016,42000,20.63,1198,67,150000
Tata Safari DICOR 2.2 LX 4x2,2011,60000,13.93,2179,138.03,425000
Maruti 800 Std,2012,76000,16.1,796,37,150000
Jeep Compass 1.4 Limited Plus BSIV,2019,5000,16,1368,160.77,2100000
Honda City i VTEC VX,2018,28900,17.8,1497,117.3,925000
Honda City V MT,2013,86300,16.8,1497,116.3,425000
Maruti Swift Dzire VXi AT,2018,23300,18.5,1197,83.14,675000
Maruti Vitara Brezza VDi,2018,32600,24.3,1248,88.5,819999
Maruti Alto K10 VXI,2018,10300,23.95,998,67.05,390000
Toyota Fortuner 4x4 MT,2014,77000,12.55,2982,168.5,1500000
Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2013,99000,12.99,2494,100,700000
Mercedes-Benz B Class B180,2014,27800,14.8,2143,120.7,1450000
Honda Amaze S Diesel,2015,49800,24.7,1498,98.63,425000
Mitsubishi Pajero Sport 4X4,2013,151000,13.5,2477,175.56,1090000
Honda City i DTEC S,2015,54700,26,1498,98.6,600000
Maruti Ciaz Zeta,2018,64000,20.65,1462,103.25,850000
Honda Jazz VX Diesel,2015,63000,27.3,1498,98.6,525000
Toyota Innova Crysta 2.8 ZX AT BSIV,2016,127700,11.36,2755,171.5,1650000
Toyota Innova 2.5 G (Diesel) 7 Seater,2016,99000,12.99,2494,100.6,950000
Audi A6 2.0 TDI Technology,2013,33900,17.68,1968,174.33,1750000
Toyota Corolla Altis 1.8 VL CVT,2018,25000,14.28,1798,138.03,1590000
Audi A6 2.0 TDI  Design Edition,2013,50000,18.53,1968,187.74,1689999
Mercedes-Benz New C-Class 220 CDI AT,2013,59000,14.84,2143,170,1425000
Tata Manza ELAN Quadrajet BS IV,2011,120000,21.12,1248,88.8,265000
Hyundai i10 Magna,2011,110000,20.36,1197,78.9,190000
Hyundai i20 Asta 1.4 CRDi,2013,60000,21.27,1396,88.76,425000
Maruti Swift Dzire ZDI,2015,147000,26.59,1248,74,630000
Ford Figo 1.2P Titanium MT,2017,25000,18.16,1196,86.8,600000
Maruti Baleno Delta 1.2,2019,30000,21.4,1197,83.1,650000
Volkswagen Ameo 1.5 TDI Highline 16 Alloy,2016,40000,22,1498,108.5,540000
Honda City i DTEC VX,2015,135000,25.1,1498,98.6,630000
Maruti Wagon R AMT VXI,2018,30000,20.51,998,67,448000
Volkswagen Ameo 1.5 TDI Comfortline,2017,80000,21.66,1498,108.62,500000
Maruti Vitara Brezza VDi,2016,70000,24.3,1248,88.5,745000
Maruti Vitara Brezza ZDi Plus AMT,2019,9850,24.3,1248,88.5,1025000
Hyundai i10 Magna,2011,60000,20.36,1197,78.9,235000
Maruti Swift VDI Deca,2016,70000,25.2,1248,74,630000
Toyota Fortuner 4x4 MT,2015,78000,12.55,2982,168.5,1700000
Maruti Swift Star VDI,2013,120000,22.9,1248,74,450000
Maruti Ertiga ZXI,2012,120000,16.02,1373,93.7,450000
Volkswagen Vento Diesel Highline,2013,170000,20.54,1598,103.6,450000
Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,140000,12.99,2494,100.6,1200000
Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,90000,22.77,1498,98.59,610000
BMW X1 sDrive20i xLine,2016,30000,15.71,1998,189,2500000
Maruti Celerio ZXI MT BSIV,2017,10000,23.1,998,67.04,484999
Datsun GO A Petrol,2016,49000,19.02,1198,67.05,275000
Maruti Alto 800 VXI BSIV,2016,32000,24.7,796,47.3,315000
Maruti Alto 800 LXI BSIV,2016,38000,24.7,796,47.3,275000
Hyundai i10 Era 1.1,2012,28000,19.81,1086,68.05,290000
Maruti Omni 8 Seater BSIV,2017,32000,14,796,35,280000
Maruti Wagon R LXI LPG BSIV,2010,44000,26.2,998,58.2,225000
Volkswagen Polo 1.2 MPI Comfortline,2015,42000,16.47,1198,74,455000
Hyundai i10 Magna 1.1L,2015,45000,19.81,1086,68.05,351000
Volkswagen Vento Petrol Highline,2012,12000,15.04,1598,103.6,535000
Maruti Zen Estilo LXI BSIII,2009,55500,18.2,998,67.1,175000
Hyundai i20 Asta Optional with Sunroof 1.2,2013,61500,18.5,1197,82.85,525000
Maruti Swift Dzire LDI,2016,150000,26.59,1248,74,600000
Hyundai Xcent 1.2 Kappa SX Option AT,2016,72000,19.1,1197,82,565000
Maruti Alto LX BSIII,2008,68000,19.7,796,46.3,120000
Hyundai i20 1.4 Asta Option,2017,110000,22.54,1396,88.73,725000
Maruti Wagon R VXI,2009,77000,21.79,998,67.05,185000
Tata Manza Aura (ABS) Quadrajet,2010,100000,18.8,1248,90,200000
Maruti Swift VXI,2019,10000,21.21,1197,81.8,615000
Maruti Eeco 7 Seater Standard BSIV,2016,100000,15.37,1196,73,270000
Maruti Baleno Zeta 1.2,2018,35000,21.4,1197,83.1,610000
Mahindra Scorpio VLX AT AIRBAG BSIV,2014,70000,11.79,2179,120,625000
Ford Freestyle Titanium Petrol BSIV,2020,5000,19,1194,94.68,400000
Hyundai Verna VTVT 1.6 SX,2017,37800,17,1591,121.3,866000
Volkswagen Passat 1.8 TSI MT,2010,114000,14.3,1798,160,700000
Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,2010,48000,15.8,1172,65,300000
Mahindra XUV500 W11 Option AWD,2019,32000,15.1,2179,155,1700000
Tata Indigo CS LS (TDI) BS-III,2016,100000,19.09,1405,69.01,375000
Hyundai Verna 1.6 SX,2013,150000,22.32,1582,126.32,522000
Hyundai i20 Magna 1.4 CRDi (Diesel),2013,69000,21.9,1396,88.76,451999
Toyota Corolla Altis G,2009,100000,14.53,1798,138.1,300000
